Move Name,Video Link,Cues/Notes (Needs to be finished),,
SOFT TISSUE RELEASES,,,,
Achilles Release,https://youtu.be/lnaQ6nhpd5Q?si=FHwnVvuwPt7beim3,"60-90 sec per side. Use roller up and down Achilles, plant opposite foot on floor for support.",,
Soleus Release,https://youtu.be/hDSYC330ano?si=WgumdEiLcKikmapQ,"60-90 sec per side. Use ball right behind the knee, grab leg down by ankle and flex foot up and down.",,
Peroneus Release,https://youtu.be/K4jYv_cvoe8?si=ixbqomQxQ3tw4X0z,"60-90 sec per side. Use roller up and down lateral side of calf, plant opposite foot on floor for support.",,
Brachialis Release ,,"60-90 sec per side. Use ball up and down side of arm. Keep wrist neutral, bend and extend arm.",,
Subscapularis Release ,,"60-90 sec per side. Use ball on end of pvc pipe to pin down subscapularis. With arm raised at or above head, internally and externally rotate arm.",,
Anterior Tibialis Release,https://youtu.be/_Ej83h5ZEQg?si=dnmuzVUOTwZBAwtq,"60-90 sec per side. Pigeon leg on top of roller, roll anterior side of calf up and down the roller.",,
Medial Gastroc Release,https://youtu.be/3cZQPVaOgYE?si=xz6QWPcyw7pFEy0e,"60-90 sec per side. Use roller up and down medial side of calf, plant opposite foot on floor for support.",,
Calf Release (General),https://youtu.be/PnAeLLxuO64?si=BxDQ-7KoAxVXFDE3,"60-90 sec per side. Use roller up and down entire calf. Focus on most tender spots, pin worst spots down and flex the foot.",,
Plantar Fascia Release,https://youtu.be/lJJfaL22EOQ?si=QYU03bZm86XL4hqo,60-90 sec per side. Use ball to roll from front of heel to the metatarsal joints. Focus on arch side.,,
Quad Release (General),https://youtu.be/EULoeg0DDu8?si=f3viRfIf-uDLiX6Q,"60-90 sec per side. Use roller up and down entire quad. Focus on most tender spots, pin worst spots down and flex the leg.",,
Rectus Femoris Release,https://youtu.be/fQSkda4eWTA?si=NlA_yNLxPCIJU-ld,"60-90 sec per side. Use roller up and down center of quads, bend and extend leg when on worst spots.",,
IT Band Release,https://youtu.be/ZWvGgUnRJnw?si=rCNKm9MDyEEBr3Qo,"60-90 sec per side. Use roller up and down lateral side of thigh, plant opposite foot on floor for support.",,
Adductor Release,https://youtu.be/VLZHKWMySMo?si=guazx8jZLLd8HkBl,"60-90 sec per side. Lay in a frog position and roll the inner thigh, stop on tight spots to bend and straighten the knee.",,
Hamstring Release (General),https://youtu.be/VXRf7lNyJ9E?si=EGZvPlhrDyAboWd9,"60-90 sec per side. Use roller up and down entire hamstring. Focus on most tender spots, pin worst spots down and roll slowly over them.",,
Seated Hamstring Release,https://youtu.be/BcMs5m5DqfM?si=DLJefBM15lOIg4gg,"60-90 sec per side. Use a hard chair with a ball under the thigh, bend and straighten on worst spots.",,
TFL Release,https://www.youtube.com/watch?v=xhEIqsfp5dc,"60-90 sec per side. Place ball where pants pocket is, plant opposite foot on floor for support.",,
